问题,SQL语句
我想知道这个月份的5G工参表里，各省各地市的小区数。,"SELECT 省分, 城市, COUNT(DISTINCT ""Cell Name"") AS 小区数量 FROM ""5G基站工参"" GROUP BY 省分, 城市;"
郑州市中原区有多少个5G SA 小区？,"SELECT COUNT(DISTINCT ""Cell Name"") AS SA小区数量 FROM ""5G基站工参"" WHERE 城市 = '郑州市' AND ""gNodeB Name"" LIKE '%中原%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
统计一下各省各地市每种场景下的5G宏站小区规模。,"SELECT 省分, 城市, 场景类型, COUNT(DISTINCT ""Cell Name"") AS 宏站小区数量 FROM ""5G基站工参"" WHERE ""宏站/室分"" = '宏站' GROUP BY 省分, 城市, 场景类型;"
全国各省5G小区在医院场景的占比分别是多少？,"WITH 总数 AS (SELECT 省分, COUNT(DISTINCT ""Cell Name"") AS 总小区数 FROM ""5G基站工参"" GROUP BY 省分), 医院数 AS (SELECT 省分, COUNT(DISTINCT ""Cell Name"") AS 医院小区数 FROM ""5G基站工参"" WHERE ""78类场景类型"" LIKE '%医院%' GROUP BY 省分) SELECT 总数.省分, 医院数.医院小区数, 总数.总小区数, ROUND(医院数.医院小区数 * 100.0 / 总数.总小区数, 2) AS 医院场景占比_百分比 FROM 总数 LEFT JOIN 医院数 ON 总数.省分 = 医院数.省分;"
统计一下全国市县乡村小区规模。,"SELECT ""市县乡村"", COUNT(DISTINCT ""Cell Name"") AS 小区数量 FROM ""5G基站工参"" GROUP BY ""市县乡村"";"
统计一下各省各地市的中频小区数。,"SELECT 省分, 城市, COUNT(DISTINCT ""Cell Name"") AS 中频小区数 FROM ""5G基站工参"" WHERE ""频段（NR3500/NR2100/NR900)"" LIKE '%NR3500%' OR ""频段（NR3500/NR2100/NR900)"" LIKE '%NR2100%' GROUP BY 省分, 城市;"
江西上饶在普通县城场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%普通县城%' AND ""宏站/室分"" = '宏站';"
江西上饶在普通县城场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%普通县城%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西上饶在县级市及以上长途汽车站及公交枢场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%县级市及以上长途汽车站及公交枢%' AND ""宏站/室分"" = '宏站';"
江西上饶在县级市及以上长途汽车站及公交枢场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%县级市及以上长途汽车站及公交枢%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西上饶在别墅区场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%别墅区%' AND ""宏站/室分"" = '宏站';"
江西上饶在别墅区场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%别墅区%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西上饶在大型会展中心场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%大型会展中心%' AND ""宏站/室分"" = '宏站';"
江西上饶在大型会展中心场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%大型会展中心%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西上饶在工厂场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%工厂%' AND ""宏站/室分"" = '宏站';"
江西上饶在工厂场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%工厂%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西上饶在大型商业购物区场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%大型商业购物区%' AND ""宏站/室分"" = '宏站';"
江西上饶在大型商业购物区场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%大型商业购物区%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西上饶在国际机场高速场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%国际机场高速%' AND ""宏站/室分"" = '宏站';"
江西上饶在国际机场高速场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%国际机场高速%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西上饶在学校校园场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%学校校园%' AND ""宏站/室分"" = '宏站';"
江西上饶在学校校园场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%学校校园%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西上饶在5A级景区场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%5A级景区%' AND ""宏站/室分"" = '宏站';"
江西上饶在5A级景区场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%5A级景区%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西上饶在省内高铁场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%省内高铁%' AND ""宏站/室分"" = '宏站';"
江西上饶在省内高铁场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%省内高铁%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西上饶在家电电子卖场场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%家电电子卖场%' AND ""宏站/室分"" = '宏站';"
江西上饶在家电电子卖场场景下的5G SA小区数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%家电电子卖场%' AND ""网络制式（SA/NSA/SA&NSA）"" = 'SA';"
江西上饶在休闲娱乐场所场景下的宏站数量是多少？,"SELECT COUNT(DISTINCT ""Cell Name"") FROM ""5G基站工参"" WHERE 省分 = '江西' AND 城市 = '上饶' AND ""78类场景类型"" LIKE '%休闲娱乐场所%' AND ""宏站/室分"" = '宏站';"
